Service Operations for: ,Current Account,,,,
Put,/current-account/{sd-identifier}/payments/{crbq-identifier}/exchange,,,,
,,,,,
Put,/current-account/{sd-identifier}/payments/{crbq-identifier}/execution,,,,
,1,in,Payments Instance Record,BQ Payments Instance Record,
,2,in,Payment Transaction,BQ Payments Instance Record,
,3,in,Payment Transaction Type,BQ Payments Instance Record,
,4,in,Payment Transaction Payee Reference,BQ Payments Instance Record,
,5,in,Payment Transaction Payee Account Reference,BQ Payments Instance Record,
,6,in,Payment Transaction Payee Bank Reference,BQ Payments Instance Record,
,7,in,Payment Transaction Amount,BQ Payments Instance Record,
,8,in,Payment Transaction Fee Type,BQ Payments Instance Record,
,9,in,Payment Transaction Fee Charge,BQ Payments Instance Record,
,10,inout,Payment Transaction Date,BQ Payments Instance Record,
,11,in,Payment Transaction Payment Mechanism,BQ Payments Instance Record,
,12,in,Payment Transaction Payment Purpose,BQ Payments Instance Record,
,13,in,Payment Transaction Bank Branch/Location Reference,BQ Payments Instance Record,
,14,inout,Payment Transaction Status,BQ Payments Instance Record,
,,,,,
Get,/current-account/{sd-identifier}/payments/{crbq-identifier}/retrieval,,,,
,1,out,Payments Instance Record,BQ Payments Instance Record,
,2,out,Payment Type,BQ Payments Instance Record,
,3,out,Payment Definition,BQ Payments Instance Record,
,4,out,Payment Processinng Option Definition,BQ Payments Instance Record,
,5,out,Payment Processing Option Setting,BQ Payments Instance Record,
,6,out,Payment Configuration,BQ Payments Instance Record,
,7,out,Payment Schedule,BQ Payments Instance Record,
,8,out,Direct Debit Mandate Reference,BQ Payments Instance Record,
,9,out,Direct Debit Mandate Settings,BQ Payments Instance Record,
,10,out,Bill Pay Mandate Reference,BQ Payments Instance Record,
,11,out,Bil Pay Mandate Settings,BQ Payments Instance Record,
,12,out,Payment Transaction,BQ Payments Instance Record,
,13,out,Payment Transaction Type,BQ Payments Instance Record,
,14,out,Payment Transaction Payee Reference,BQ Payments Instance Record,
,15,out,Payment Transaction Payee Account Reference,BQ Payments Instance Record,
,16,out,Payment Transaction Payee Bank Reference,BQ Payments Instance Record,
,17,out,Payment Transaction Amount,BQ Payments Instance Record,
,18,out,Payment Transaction Fee Type,BQ Payments Instance Record,
,19,out,Payment Transaction Fee Charge,BQ Payments Instance Record,
,20,out,Payment Transaction Date,BQ Payments Instance Record,
,21,out,Payment Transaction Payment Mechanism,BQ Payments Instance Record,
,22,out,Payment Transaction Payment Purpose,BQ Payments Instance Record,
,23,out,Payment Transaction Bank Branch/Location Reference,BQ Payments Instance Record,
,24,out,Payment Transaction Status,BQ Payments Instance Record,
,,,,,
Post,/current-account/{sd-identifier}/issued-device/{crbq-identifier}/initiation,,,,
,1,inout,Current Account Fulfillment Arrangement Instance Record,CR Current Account Arrangement Instance Record,
,2,in,Product Instance Reference,CR Current Account Arrangement Instance Record,
,3,in,Current Account Number,CR Current Account Arrangement Instance Record,AccountIdentification
,4,in,Customer Reference,CR Current Account Arrangement Instance Record,AccountInvolvement
